time_s,bandwidth_Mbps
665.626,4.610736
666.632,4.651093
667.633,5.344408
668.634,5.378236
669.636,4.866987
670.643,4.895878
671.691,4.683892
672.692,4.815089
673.693,3.504528
674.723,5.219540
675.724,4.342813
676.782,4.016461
677.824,5.449125
678.862,5.077483
679.863,4.477217
680.921,4.886739
681.923,4.614216
682.932,4.775896
683.933,5.154014
684.934,3.982730
685.942,5.241479
686.943,4.150463
687.963,4.801057
688.992,4.629566
690.001,5.121215
691.002,4.268436
692.003,4.983624
693.004,5.044683
694.005,4.646349
695.008,5.219612
696.009,4.454387
697.011,4.990018
698.012,4.765846
699.022,4.881551
700.043,4.601595
701.051,4.782290
702.052,4.422160
703.091,5.124684
704.102,3.928204
705.202,5.558513
706.203,3.850477
707.311,3.137230
708.352,5.307077
709.353,4.978651
710.355,4.733228
711.371,4.913118
712.373,5.460140
713.374,4.874294
714.375,5.077483
715.376,4.600967
716.377,4.012966
717.379,4.771357
718.380,4.148567
719.382,5.110282
720.383,4.618720
721.392,5.274278
722.393,4.412638
723.402,5.033750
724.403,3.892822
725.405,4.863361
726.406,4.941349
727.408,3.021496
728.641,3.977782
729.642,4.727624
730.643,4.524436
731.644,4.944508
732.652,4.918026
733.653,5.022817
734.654,4.398823
735.701,4.204566
736.712,5.273709
737.770,4.957219
738.771,4.687001
739.812,4.750511
740.822,4.707555
741.891,5.066549
742.892,4.574561
743.893,4.650986
744.895,5.263345
745.896,4.797762
746.897,4.930414
747.931,5.416408
748.932,5.197094
749.934,5.175880
750.935,4.262616
751.941,4.727624
752.942,4.434147
753.993,4.598173
754.996,4.775686
756.091,4.629227
757.092,5.033750
758.093,4.502569
759.094,4.482097
760.101,4.081169
761.141,4.224703
762.142,4.880687
763.143,4.021514
764.144,5.110282
765.145,4.817431
766.151,4.158882
767.181,5.170017
768.220,5.350809
769.221,4.271604
770.271,5.292301
771.281,4.808695
772.282,5.044683
773.283,4.896160
774.284,5.087470
775.311,5.103888
776.312,5.164795
777.313,2.759824
778.314,4.546302
779.315,5.416518
780.318,4.947976
781.324,5.166777
782.331,4.513502
783.332,5.175880
784.333,4.316699
785.334,4.563986
786.474,5.170090
787.477,5.040510
788.481,4.836663
789.483,5.193670
790.489,4.185510
791.490,5.143737
792.493,4.574531
793.495,3.805445
794.497,4.903689
795.500,4.521102
796.509,4.295414
797.519,4.273743
798.529,4.371434
799.540,4.727632
800.541,4.388854
801.543,4.618294
802.544,4.996666
803.559,4.174577
804.560,4.782290
805.561,4.449587
806.569,4.640160
807.570,4.301235
808.571,3.412248
809.573,4.377930
810.580,5.000951
811.581,4.127968
812.588,4.847888
813.589,4.608948
814.669,3.973243
815.670,3.962310
816.671,4.711984
817.673,4.012406
818.679,4.696333
819.689,3.437522
820.690,4.137239
821.691,3.649743
822.719,3.929510
823.720,3.880508
824.728,4.290302
825.729,4.082743
826.738,3.324298
827.758,4.049774
828.759,4.421499
829.760,4.002044
830.762,4.414918
831.768,3.892814
832.770,4.049774
833.771,3.460512
834.778,3.371924
835.779,3.907644
836.780,3.835652
837.781,3.580060
838.788,4.793223
839.789,3.732715
840.790,3.482248
841.797,2.789259
842.807,2.778424
843.817,2.726873
844.818,2.629328
845.827,2.648396
846.837,2.645802
847.838,2.245818
848.839,2.251913
849.847,2.558338
850.848,2.152111
851.857,2.059956
852.858,2.683560
853.867,2.492198
854.877,2.626725
855.887,2.748715
856.888,2.541035
857.889,2.166824
858.977,2.714372
859.989,2.197651
860.997,1.490875
862.057,1.652329
863.077,1.274280
864.326,1.782090
865.327,1.553996
866.337,2.787932
867.338,2.325629
868.347,1.775696
869.348,1.313714
870.356,1.415716
871.426,1.530629
872.427,1.453415
873.436,1.885027
874.437,3.504412
875.447,3.002999
876.458,3.106569
877.467,3.175129
878.468,3.798314
879.469,2.957651
880.477,1.775696
881.478,1.462067
882.496,1.898857
883.507,2.798865
884.508,1.850222
885.516,2.570002
886.527,2.293090
887.536,3.094058
888.537,2.836204
889.538,2.284508
890.546,1.998257
891.556,2.733267
892.557,2.206147
893.576,1.888032
894.587,2.394342
895.588,1.488031
896.606,2.256751
897.607,2.353665
898.616,1.970523
899.618,2.338794
900.626,2.372476
901.627,2.477479
902.636,2.672208
903.637,2.363721
904.639,2.616571
905.647,2.225806
906.657,2.336476
907.666,2.333283
908.667,2.491666
909.686,2.541011
910.687,2.333283
911.688,2.414794
912.696,2.578883
913.706,2.074107
914.716,2.156208
915.718,2.547770
916.726,2.719624
917.727,2.759485
918.736,2.561711
919.746,2.550875
920.756,2.989267
921.757,3.371924
922.758,2.903365
923.766,2.812558
924.826,3.028460
925.827,2.618482
926.836,2.661275
927.837,2.412400
928.846,2.453546
929.847,2.121015
930.848,2.295365
931.856,2.128285
932.866,2.741418
933.876,1.987422
934.886,2.092755
935.887,2.321126
936.896,1.972492
937.897,2.431680
938.898,2.672208
939.899,2.793057
940.906,2.595676
941.907,3.925922
943.016,5.121215
944.017,4.683892
945.018,3.671656
946.019,3.885778
947.020,3.238718
948.025,2.508212
949.026,2.576332
950.037,1.828508
951.045,3.208673
952.056,2.387948
953.057,2.171599
954.075,1.699165
955.076,2.002202
956.166,2.173509
957.168,2.092114
958.185,2.385978
959.196,2.383842
960.206,2.202086
961.207,2.889641
962.216,2.900488
963.225,2.326011
964.295,2.733267
965.296,1.983425
966.297,1.902628
967.306,1.972087
968.316,1.787289
969.335,2.153814
970.336,1.775696
971.337,1.923268
972.375,1.705558
973.376,1.515642
